BST,EDT,PDT,Duration,Activity,Description,Presenter,Institution,Title,,,,,,
16:30,11:30,8:30,30,**Arrival and networking**,Arrival and networking,,,,,,,,,
17:00,12:00,9:00,40,**Keynote**: Guy van den Broeck (*UCLA*),Keynote,Guy van den Broeck,UCLA,From Probabilistic Circuits to Probabilistic Programs and Back,,,,,,
17:40,12:40,9:40,20,**Talk**: Ekansh Sharma (*University of Toronto*),Talk,Ekansh Sharma,University of Toronto,Approximations in Probabilistic Programs: a Compositional Nonasymptotic analysis of Nested MCMC,,,,,,
18:00,13:00,10:00,20,**Talk**: Steven Holtzen  (*UCLA*),Talk,Steven Holtzen ,UCLA,Modular Exact Inference for Discrete Probabilistic Programs,,,,,,
18:20,13:20,10:20,20,**Talk**: Kinjal Shah (*Facebook*),Talk,Kinjal Shah,Facebook,Bean Machine: A Declarative Probabilistic Programming Language For Efficient Programmable Inference,,,,,,
18:40,13:40,10:40,20,**Talk**: Avi Bryant (*Gradient Retreat*),Talk,Avi Bryant,Gradient Retreat,A Bayesian Computation Graph for High-Performance Gradient Evaluation on the JVM,,,,,,
19:00,14:00,11:00,20,**Talk**: Guangyao Zhou (*Vicarious AI*),Talk,Guangyao Zhou,Vicarious AI,Mixed Hamiltonian Monte Carlo for Mixed Discrete and Continuous Variables,,,,,,
19:20,14:20,11:20,20,**Talk**: David Chiang (*University of Notre Dame*),Talk,David Chiang,University of Notre Dame,Translating Recursive Probabilistic Programs to Factor Graph Grammars,,,,,,
19:40,14:40,11:40,5,"**Closing Remarks**: Vikash Mansinghka, Jan-Willem van de Meent, Jean-Baptiste Tristan",Closing Remarks,"Vikash Mansinghka, Jan-Willem van de Meent, Jean-Baptiste Tristan",,,,,,,,
19:45,14:45,11:45,,**End**,End,,,,,,,,,
